repo,commit,parent_commit,file_path,method_name,method_start,method_end,hunk_id,github_link
Kotlin/kotlinx.coroutines,5f8035c108a1211deded198b7809cd8347ca07a5,96de3017802c6711cbe02acfff9b07975d422150,kotlinx-coroutines-core/common/src/flow/Migration.kt,combineLatest,363,372,0d2471469e334b9c92db1201,https://github.com/Kotlin/kotlinx.coroutines/commit/5f8035c108a1211deded198b7809cd8347ca07a5#diff-5b0361e09451187fa7d1c675a137b7ee
Kotlin/kotlinx.coroutines,5f8035c108a1211deded198b7809cd8347ca07a5,96de3017802c6711cbe02acfff9b07975d422150,kotlinx-coroutines-core/common/src/flow/Migration.kt,combineLatest,375,385,153f209c15204fb8842c66a0,https://github.com/Kotlin/kotlinx.coroutines/commit/5f8035c108a1211deded198b7809cd8347ca07a5#diff-5b0361e09451187fa7d1c675a137b7ee
Kotlin/kotlinx.coroutines,3f3f4f7e802dbb76509002ad999921d79c32ee58,4862747f85ca084b64b9f273a57419b8a713b3d8,kotlinx-coroutines-core/common/src/intrinsics/Undispatched.kt,startUndispatchedOrReturn,41,45,6920872245a642a3bd31faed,https://github.com/Kotlin/kotlinx.coroutines/commit/3f3f4f7e802dbb76509002ad999921d79c32ee58#diff-ec53e68d574f63ee9d9d0c360555a38d
Kotlin/kotlinx.coroutines,3f3f4f7e802dbb76509002ad999921d79c32ee58,4862747f85ca084b64b9f273a57419b8a713b3d8,kotlinx-coroutines-core/common/src/intrinsics/Undispatched.kt,startUndispatchedOrReturnIgnoreTimeout,50,56,c20afcad3fe34bc4b284965b,https://github.com/Kotlin/kotlinx.coroutines/commit/3f3f4f7e802dbb76509002ad999921d79c32ee58#diff-ec53e68d574f63ee9d9d0c360555a38d
Kotlin/kotlinx.coroutines,3f3f4f7e802dbb76509002ad999921d79c32ee58,4862747f85ca084b64b9f273a57419b8a713b3d8,kotlinx-coroutines-core/common/src/intrinsics/Undispatched.kt,undispatchedResult,58,92,ca4bd406cd504eba80f5e245,https://github.com/Kotlin/kotlinx.coroutines/commit/3f3f4f7e802dbb76509002ad999921d79c32ee58#diff-ec53e68d574f63ee9d9d0c360555a38d
Kotlin/kotlinx.coroutines,03b81f42f16f49b7f36588a1dab10138cdd03dcc,09223c661fd012302dbaa987688767c0f3904340,kotlinx-coroutines-core/common/src/flow/operators/Share.kt,stateIn,321,326,4728bba7b4ec439a99517eee,https://github.com/Kotlin/kotlinx.coroutines/commit/03b81f42f16f49b7f36588a1dab10138cdd03dcc#diff-ba6e4d7e314c2b39c143e9ea535666c5
Kotlin/kotlinx.coroutines,03b81f42f16f49b7f36588a1dab10138cdd03dcc,09223c661fd012302dbaa987688767c0f3904340,kotlinx-coroutines-core/common/src/flow/operators/Share.kt,launchSharingDeferred,328,350,7258d1abc2284a5c8df26808,https://github.com/Kotlin/kotlinx.coroutines/commit/03b81f42f16f49b7f36588a1dab10138cdd03dcc#diff-ba6e4d7e314c2b39c143e9ea535666c5
Kotlin/kotlinx.coroutines,8f8305744e495eed1d371235e96cb5378307a202,f8c0304a9c8dfcccbc29d0beedc370667b48b4d7,kotlinx-coroutines-test/common/src/internal/TestMainDispatcher.kt,dispatch,25,25,046472f85238402da8e95bbd,https://github.com/Kotlin/kotlinx.coroutines/commit/8f8305744e495eed1d371235e96cb5378307a202#diff-6f1dfb3dfe5835390370ff3c5eaa0248
Kotlin/kotlinx.coroutines,8f8305744e495eed1d371235e96cb5378307a202,f8c0304a9c8dfcccbc29d0beedc370667b48b4d7,kotlinx-coroutines-test/common/src/internal/TestMainDispatcher.kt,isDispatchNeeded,27,27,6a5225aebedd4799ad327f6c,https://github.com/Kotlin/kotlinx.coroutines/commit/8f8305744e495eed1d371235e96cb5378307a202#diff-6f1dfb3dfe5835390370ff3c5eaa0248
Kotlin/kotlinx.coroutines,8f8305744e495eed1d371235e96cb5378307a202,f8c0304a9c8dfcccbc29d0beedc370667b48b4d7,kotlinx-coroutines-test/common/src/internal/TestMainDispatcher.kt,dispatchYield,29,29,de4fe6a5ce88482eb1abb5b6,https://github.com/Kotlin/kotlinx.coroutines/commit/8f8305744e495eed1d371235e96cb5378307a202#diff-6f1dfb3dfe5835390370ff3c5eaa0248
